X,seed_kras,seed_nras,seed_hras,uniprotswissprot
TRIB2,2.41267079347946,2.2590608902343,-1.59406060651252,Q92519
ARL11,-2.4048816978011,2.24888252852869,-1.58710334265383,Q969Q4
ST6GALNAC1,2.40211193073923,2.2448130443949,1.58300258148138,Q9NSC7
NPAS2,2.40132407825599,2.24200601737361,1.582875652739,Q99743
BCL2L14,2.39932845977346,2.24005035526905,-1.58225431862164,Q9BZR8
PF4V1,2.39736182217701,2.23298957917359,1.57904371099227,P10720
DDIT4,2.39587602330598,2.22904366444262,-1.57687678389468,Q9NX09
ANXA11,2.3958076252977,-2.22139861097979,1.57414385200412,P50995
ADAM15,2.39496871754972,-2.21956864054621,1.57144772075176,Q13444
PLCB3,2.39368298488389,2.21938754677595,-1.56939159433879,Q01970
CBX6,-2.39368235982232,2.21807779260716,1.56773683722543,O95503
CHD3,2.39161663527346,2.21556668137291,1.56429926124197,Q12873
NKIRAS1,-2.38599559805882,-2.21064491027487,1.56184807206882,Q9NYS0
TTI1,-2.38515058694834,2.21012442544612,-1.56052660579838,O43156
PIPOX,-2.38381948756314,2.20827709579137,1.55746485727428,Q9P0Z9
KATNB1,2.38289282902661,-2.20673317430259,1.55732535892345,Q9BVA0
OR4A16,2.37731549384103,2.20177930343901,1.55254935516604,Q8NH70
PSCA,2.37717353498669,2.20135486692196,-1.55097011736364,O43653
MLPH,2.36938722989059,2.19914037877474,-1.54728476229912,Q9BV36
BCAR1,2.36702397600235,-2.1969214476947,1.54545902090375,P56945
CATSPERB,2.36690576184103,-2.19643557323835,1.54507933360306,Q9H7T0
ARL17A,-2.36448288264602,2.18658077510026,-1.54389913007437,Q8IVW1
ONECUT3,2.36281892464848,-2.18118047435032,1.54194728272501,O60422
IQCK,2.35959060818337,2.17858927663986,1.54156539156823,Q8N0W5
PTPRN2,2.35292613938477,-2.17815230815655,1.54050807422741,Q92932
CEBPA,-2.35217629458049,2.17617325945579,-1.53983664233355,P49715
CASR,2.35159118350027,2.17539384880341,1.5397641803581,P41180
ARF3,2.35026535884805,-2.1753702646857,-1.53916635225655,P61204
RASAL1,2.34606944402059,2.17375922480298,1.53691259745177,O95294
PYCR2,2.34515510529699,2.1693031077472398,-1.53199448537073,Q96C36
GMPR,2.34156344490329,-2.16830849803824,1.52980978286953,P36959
SLC25A33,-2.33981820731832,2.16642083295415,1.52585504390581,Q9BSK2
GBP6,-2.33296328750589,2.16448823719973,1.52261452930254,Q6ZN66
TRIM8,2.33205454374057,2.1590395861909,1.52163595678062,Q9BZR9
CCDC149,2.32881455732264,2.15832369845038,-1.52152444934466,Q6ZUS6
ZNF79,-2.32624833441503,-2.15611674007591,1.51491821029941,Q15937
TAS1R3,-2.3213912849881,-2.14956721254545,1.51138466453624,Q7RTX0
DSG4,2.31744978268242,2.14651012856188,1.50432717145668,Q86SJ6
B3GALT5,2.31403832321822,2.13168037513322,1.50161668187981,Q9Y2C3
ARHGEF2,2.31352719633448,2.13134876145967,1.49903974641209,Q92974
DENND2C,-2.30737861928862,2.1307154517107,1.49821390054546,Q68D51
CTBP1,2.30336287810389,2.12974451064629,1.4976509542349,Q13363
ZNF813,-2.30131787367304,2.12811085395898,1.49433456790575,Q6ZN06
MOGAT3,-2.29896907536293,-2.12716537963435,1.49258728126727,Q86VF5
ST3GAL3,-2.29444895644301,2.12686738720708,-1.49240834720625,Q11203
TSACC,-2.29017628667037,-2.12521155091755,1.49210271381908,Q96A04
ATP1A1,2.28979932491555,2.1249508626894,1.49129244454426,P05023
SMIM1,-2.28668368375502,-2.12418645041873,1.49079613383945,B2RUZ4
LAMC2,2.27858512999539,2.11785968443324,1.48749546918638,Q13753
ZNF433,-2.27784752299106,2.1170163425424,1.48686047093786,Q8N7K0
KLB,-2.27755699025391,2.11553629969591,1.48634852844343,Q86Z14
PRKAR2A,-2.27666942753618,2.11525424059683,1.48260423282553,P13861
LGALS14,-2.27606921854772,-2.11240796986772,1.48178309848074,Q8TCE9
DSCC1,-2.27544313698837,2.10942694184627,-1.48046528965239,Q9BVC3
ZBTB7C,2.27192066046001,2.10788308017461,1.47715889074537,A1YPR0
SH3TC2,2.27182739791702,2.10732038823338,-1.47705691601548,Q8TF17
RNF185,-2.2706861808394,2.10721008350455,1.47667666676087,Q96GF1
GAK,2.26956343800985,-2.10380282192106,1.47569572765691,O14976
EMB,2.26794637852536,-2.10172982598622,1.47531446193666,Q6PCB8
WFDC10A,-2.26561413618925,2.09833094327101,1.47500977927891,Q9H1F0
SPTBN5,2.2651576853866,2.09784985009624,1.47368827708466,Q9NRC6
CAPN6,2.26461080198124,-2.09637632187867,-1.47323446742172,Q9Y6Q1
VDAC1,2.26329732942501,-2.0958664908257,-1.47308065158118,P21796
KLRG2,-2.25916988169989,2.09501578216136,-1.47184474609346,A4D1S0
EPHA2,2.25681578456082,-2.08962982786582,1.47002159691904,P29317
