,seed_kras,seed_nras,seed_hras
AL773604.8,-2.86437755100048,-2.7864207506602,1.9946566655645
PGBD4P7,2.86271680086101,-2.78637689209955,1.99021016055352
RNU7-101P,-2.861052530664,2.78530318910721,-1.99016779593081
RNU6-901P,2.85622535640388,2.78431820256605,1.98973055044963
C20ORF135,2.85308430129677,2.78146420112731,1.98851455596161
KLF2,2.85262632240757,2.77528600094089,1.98818756942244
TTPA,-2.85241569101257,2.77491140313777,1.98318259792686
ITGB4,2.85226423680718,2.77456511793372,1.98284365811363
HOXB5,2.85221884445403,2.77046222970782,1.98248389334984
RP11-441A11.1,-2.8512863969573,2.76946232628874,-1.97970983895672
MIR520B,2.85071011975696,-2.76905202385669,1.97960016631564
RP11-405A12.1,2.84699583594863,2.76877834155058,1.97922148366886
STMN2,2.84664301823545,-2.76591154816887,1.97481584696966
PLXNB3,2.84371552956205,2.76559460752876,1.97373096972861
KLHL7,-2.83929497880823,2.76452841777766,1.97288836080445
RP11-229P13.19,2.83185194182986,2.76219750562341,1.97237937488219
SIGLEC28P,2.83154642714633,-2.76101333945921,1.97130947813179
RP11-517C16.2,2.83110939727737,2.75942461793967,1.96992551412463
BHLHE41,2.83067438806681,2.75917684649482,1.96879010243169
CTD-2033A16.1,2.82999770739819,-2.75865530153927,1.96770144766082
PDXDC1,2.82987224026482,2.75844503817581,-1.961148008503
GCNT1P4,2.829640987574,2.75192897982037,-1.96047206616907
ANKDD1A,-2.82832349267724,-2.75032306642111,-1.96041730117777
AC103828.1,-2.82689841301439,2.74616628720016,-1.95686695546257
CTBP2,2.82686500586324,-2.74568188616824,-1.95679907992971
AC018641.7,-2.82557896763058,-2.7442719395537,-1.95544113183518
TSTA3,2.82556600572953,-2.74353910875763,1.95425235691557
RP5-1160K1.6,2.82051251881699,2.74101780306999,1.95400444005397
RP5-973M2.2,2.82017147916239,2.73972360372837,-1.95265572894047
CTD-2385L22.1,2.81815008669531,-2.73961672424982,-1.95196566942886
CTB-59C6.3,2.81735367852635,2.73750065628308,1.95132287417842
PPAPDC1A,2.81730221693,-2.73727720895448,1.95113493438907
C2orf70,2.81420821123707,2.73454797164612,1.94922966550086
RP11-416I2.1,2.81388298607641,2.73400379048123,-1.94790597754133
CYP20A1,-2.81228124150913,-2.73080714685644,-1.94760928302294
CTC-548K16.5,2.81114108497631,2.72958857757855,1.94619230579039
MARCH3,2.81113123402802,2.72726325852049,1.94269861853295
EPHB3,2.81070312594218,2.72258256701857,1.94189803525755
RP1-92C8.3,2.80760994445287,2.71714304309683,1.93988529167932
CRABP2,2.80647685751024,2.71125020461551,1.93747658549567
NAA20,-2.80611398249143,2.71073700791774,1.93671313953436
CTNNA1,2.80576485309989,2.7096698193938,-1.93565736213309
CTC-459F4.5,2.80570344984607,-2.70699910271598,1.93405779696971
PM20D2,-2.80490541794648,2.70677627446388,-1.93199184939304
ZG16B,2.80400778147403,-2.7019360912787,1.93135576903318
VPS37B,2.8033162802222,2.70160590439706,-1.9310380788572
RP11-727A23.5,-2.80171354196974,2.70139271978349,-1.92847278452233
RNF145,2.80130494675805,-2.69940606494766,-1.92551118374282
RP13-870H17.3,2.79254509985541,2.69769357232268,-1.92478290962547
