Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-8934593,"Regulation of RUNX1 Expression and Activity",1,17,0.0014036826025926844,0.033150129580979515,0.10348482680301918,2,19,0.0012273108972288612,9606,Homo sapiens,"P12931","P12931","R-HSA-8937728;R-HSA-8937682"
R-HSA-180292,"GAB1 signalosome",1,17,0.0014036826025926844,0.033150129580979515,0.10348482680301918,1,11,7.105484141851302E-4,9606,Homo sapiens,"P12931","P12931","R-HSA-177923"
R-HSA-1482925,"Acyl chain remodelling of PG",1,18,0.0014862521674510775,0.03506697641053336,0.10348482680301918,2,10,6.459531038046638E-4,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-1482635;R-HSA-1482539"
R-HSA-5693532,"DNA Double-Strand Break Repair",2,152,0.012550573858475765,0.036212594763757155,0.10348482680301918,19,115,0.007428460693753633,9606,Homo sapiens,"P11532;P78527","Q13535;P78527","R-HSA-5684887;R-HSA-5684882;R-HSA-5686642;R-HSA-5685011;R-HSA-5693564;R-HSA-5693533;R-HSA-5693561;R-HSA-5693574;R-HSA-5693575;R-HSA-5685156;R-HSA-5693604;R-HSA-5687360;R-HSA-5686657;R-HSA-5687183;R-HSA-5693615;R-HSA-5693580;R-HSA-5686924;R-HSA-5693578;R-HSA-5684875"
R-HSA-9034015,"Signaling by NTRK3 (TRKC)",1,19,0.0015688217323094706,0.03698018100262945,0.10348482680301918,4,19,0.0012273108972288612,9606,Homo sapiens,"P12931","P12931","R-HSA-9603445;R-HSA-9603419;R-HSA-9603420;R-HSA-9603437"
R-HSA-2995383,"Initiation of Nuclear Envelope (NE) Reformation",1,20,0.001651391297167864,0.03888974997760608,0.10348482680301918,2,7,4.5216717266326466E-4,9606,Homo sapiens,"O75531","O75531","R-HSA-2995388;R-HSA-2995376"
R-HSA-5218921,"VEGFR2 mediated cell proliferation",1,20,0.001651391297167864,0.03888974997760608,0.10348482680301918,1,12,7.751437245655965E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-4420121"
R-HSA-1640170,"Cell Cycle",4,665,0.05490876063083148,0.04003505388305295,0.10348482680301918,23,474,0.030618177120341063,9606,Homo sapiens,"O14980;O75531;P11532;P12931","P12931-1;O14980;Q13535;O75531","R-HSA-9648114;R-HSA-6799332;R-HSA-141409;R-HSA-375302;R-HSA-2467809;R-HSA-2467811;R-HSA-2993898;R-HSA-8942607;R-HSA-176298;R-HSA-1638803;R-HSA-141422;R-HSA-912450;R-HSA-2995388;R-HSA-2484822;R-HSA-141431;R-HSA-176116;R-HSA-176250;R-HSA-2468287;R-HSA-170072;R-HSA-912470;R-HSA-1638821;R-HSA-141439;R-HSA-2995376"
R-HSA-389513,"Co-inhibition by CTLA4",1,21,0.0017339608620262571,0.040795689944306046,0.10348482680301918,2,5,3.229765519023319E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-388833;R-HSA-388829"
R-HSA-167044,"Signalling to RAS",1,21,0.0017339608620262571,0.040795689944306046,0.10348482680301918,2,10,6.459531038046638E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-171011;R-HSA-170991"
R-HSA-901032,"ER Quality Control Compartment (ERQC)",1,21,0.0017339608620262571,0.040795689944306046,0.10348482680301918,1,8,5.16762483043731E-4,9606,Homo sapiens,"Q96GF1","Q96GF1","R-HSA-8867288"
R-HSA-162587,"HIV Life Cycle",2,163,0.013458839071918091,0.041100694018834205,0.10348482680301918,17,116,0.0074930560041341,9606,Homo sapiens,"O14980;O75531","O14980;O75531","R-HSA-164514;R-HSA-180739;R-HSA-8951690;R-HSA-175174;R-HSA-165028;R-HSA-175108;R-HSA-165034;R-HSA-164522;R-HSA-164845;R-HSA-175117;R-HSA-175250;R-HSA-165043;R-HSA-165047;R-HSA-180885;R-HSA-173115;R-HSA-162590;R-HSA-165055"
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",1,22,0.0018165304268846503,0.04269800750010644,0.10348482680301918,7,11,7.105484141851302E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-9670418;R-HSA-9670417;R-HSA-9670416;R-HSA-9670426;R-HSA-9670414;R-HSA-9670413;R-HSA-9670412"
R-HSA-9669938,"Signaling by KIT in disease",1,22,0.0018165304268846503,0.04269800750010644,0.10348482680301918,7,26,0.0016794780698921258,9606,Homo sapiens,"P12931","P12931-1","R-HSA-9670418;R-HSA-9670417;R-HSA-9670416;R-HSA-9670426;R-HSA-9670414;R-HSA-9670413;R-HSA-9670412"
R-HSA-162594,"Early Phase of HIV Life Cycle",1,22,0.0018165304268846503,0.04269800750010644,0.10348482680301918,10,39,0.0025192171048381887,9606,Homo sapiens,"O75531","O75531","R-HSA-175250;R-HSA-164514;R-HSA-8951690;R-HSA-175174;R-HSA-175108;R-HSA-164522;R-HSA-173115;R-HSA-162590;R-HSA-164845;R-HSA-175117"
R-HSA-8876384,"Listeria monocytogenes entry into host cells",1,23,0.0018990999917430436,0.04459670923093462,0.10348482680301918,2,13,8.397390349460629E-4,9606,Homo sapiens,"P12931","P12931","R-HSA-8876948;R-HSA-112333"
R-HSA-9768919,"NPAS4 regulates expression of target genes",1,23,0.0018990999917430436,0.04459670923093462,0.10348482680301918,1,35,0.002260835863316323,9606,Homo sapiens,"O14980","O14980","R-HSA-9769141"
R-HSA-9634638,"Estrogen-dependent nuclear events downstream of ESR-membrane signaling",1,24,0.0019816695566014365,0.0464918017112852,0.10348482680301918,1,12,7.751437245655965E-4,9606,Homo sapiens,"O14980","O14980","R-HSA-9632873"
R-HSA-418592,"ADP signalling through P2Y purinoceptor 1",1,25,0.00206423912145983,0.04838329150424847,0.10348482680301918,1,7,4.5216717266326466E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-418662"
R-HSA-9620244,"Long-term potentiation",1,25,0.00206423912145983,0.04838329150424847,0.10348482680301918,1,7,4.5216717266326466E-4,9606,Homo sapiens,"P12931","P12931","R-HSA-9612085"
R-HSA-8940973,"RUNX2 regulates osteoblast differentiation",1,25,0.00206423912145983,0.04838329150424847,0.10348482680301918,2,24,0.001550287449131193,9606,Homo sapiens,"P12931","P12931","R-HSA-8937820;R-HSA-8937844"
R-HSA-9828806,"Maturation of hRSV A proteins",1,25,0.00206423912145983,0.04838329150424847,0.10348482680301918,1,40,0.002583812415218655,9606,Homo sapiens,"O14980","O14980","R-HSA-9831677"
R-HSA-901042,"Calnexin/calreticulin cycle",1,26,0.0021468086863182232,0.05027118516151419,0.10348482680301918,1,11,7.105484141851302E-4,9606,Homo sapiens,"Q96GF1","Q96GF1","R-HSA-8867288"
R-HSA-2173788,"Downregulation of TGF-beta receptor signaling",1,26,0.0021468086863182232,0.05027118516151419,0.10348482680301918,2,28,0.0018086686906530587,9606,Homo sapiens,"O14980","O14980","R-HSA-2167924;R-HSA-178215"
R-HSA-1482788,"Acyl chain remodelling of PC",1,27,0.002229378251176616,0.05215548922340074,0.10348482680301918,2,9,5.813577934241974E-4,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-1482533;R-HSA-1482547"
